codeCI,codeCH,libelleCI,XLambert93,YLambert93
448142	,	JO	,	Viessoix	,"	422799,969	","	6865161,524"
484006	,	TE	,	Angers-St-Laud	,"	437637,786	","	6712026,419"
296012	,	S1	,	Laon	,"	747217,158	","	6941393,062"
764613	,	00	,	L'Ardoise	,"	836071,505	","	6334495,728"
764613	,	1B	,	L'Ardoise	,"	835834,367	","	6334961,086"
194407	,	BF	,	Mont-St-Martin	,"	902896,396	","	6941600,297"
473355	,	00	,	Ploeuc-L'Hermitage	,"	268411,249	","	6819264,78"
686006	,	AG	,	Paris-Gare-de-Lyon	,"	658538,456	","	6852568,229"
734715	,	00	,	St-Vincent-le-Château	,"	772204,34	","	6450505,172"
534701	,	TS	,	Poste 93 Les Magny	,"	975002,408	","	6723476,954"
682278	,	FP	,	Moret-Veneux-les-Sablons	,"	685368,749	","	6808669,02"
713008	,	47	,	Dijon-Porte-Neuve	,"	855308,32	","	6693893,94"
576272	,	ER	,	St-Florent-sur-Cher	,"	643819,077	","	6651310,61"
182550	,	00	,	Vieux-Thann	,"	1008298,676	","	6753037,035"
751602	,	AS	,	L'Estaque	,"	889261,272	","	6254353,704"
241315	,	BE	,	Gagny Raccordement	,"	665559,595	","	6863857,677"
643080	,	BO	,	Poste 77 Loiron	,"	408277,53	","	6780153,8"
696682	,	BV	,	Château-Chinon	,"	770281,805	","	6663923,953"
492215	,	SE	,	Montaudran Poste	,"	578049,757	","	6275433,057"
116103	,	V3	,	Meaux	,"	690656,809	","	6872568,269"
743344	,	A2	,	Cize-Bolozon	,"	889299,556	","	6570681,907"
345009	,	BV	,	Douai	,"	706460,055	","	7030604,428"
215079	,	AO	,	Réding	,"	1000907,318	","	6857010,003"
215079	,	AE	,	Réding	,"	1002389,749	","	6856715,302"
215079	,	P2	,	Réding	,"	1002277,6	","	6856737,286"
444562	,	RF	,	Surdon	,"	489025,191	","	6844368,763"
641001	,	P3	,	Montluçon-Ville	,"	668641,455	","	6582340,287"
381509	,	LI	,	Mantes-la-Jolie	,"	614601,937	","	6874801,811"
381509	,	V3	,	Mantes-la-Jolie	,"	604718,333	","	6877612,42"
381509	,	FC	,	Mantes-la-Jolie	,"	607822,115	","	6875269,053"
672279	,	BV	,	Puyoô	,"	384071,923	","	6277261,756"
672279	,	AD	,	Puyoô	,"	383664,339	","	6277374,767"
672253	,	82	,	Orthez	,"	394183,046	","	6272715,022"
192245	,	LU	,	Baudrecourt	,"	954651,093	","	6878664,66"
271106	,	VK	,	Paris-Landy	,"	652401,818	","	6868579,344"
141010	,	AI	,	Jarville-la-Malgrange	,"	935737,07	","	6845248,469"
141010	,	PK	,	Jarville-la-Malgrange	,"	935564,018	","	6844495,811"
141010	,	PE	,	Jarville-la-Malgrange	,"	935801,317	","	6844912,13"
543769	,	BV	,	Pithiviers	,"	643787,306	","	6786403,01"
276006	,	CV	,	Creil	,"	660842,376	","	6906613,133"
175117	,	BV	,	Chevillon	,"	855929,151	","	6826962,651"
784595	,	00	,	Bouleternère	,"	666214,247	","	6172815,18"
487892	,	00	,	St-Mathurin	,"	449867,994	","	6706575,265"
411173	,	03	,	Elbeuf-St-Aubin	,"	554784,111	","	6913800,564"
571547	,	00	,	Neuillé-Pont-Pierre	,"	516906,614	","	6720339,117"
571547	,	31	,	Neuillé-Pont-Pierre	,"	515315,491	","	6721090,173"
761106	,	BV	,	St-Rambert-d'Albon	,"	841889,824	","	6468137,115"
242487	,	RO	,	Ocquerre	,"	704461,185	","	6883318,859"
118059	,	ES	,	Barberey-St-Sulpice	,"	777287,449	","	6802575,648"
743716	,	ZI	,	Ambérieu	,"	879586,925	","	6541458,197"
743716	,	P3	,	Ambérieu	,"	882417,147	","	6541872,277"
743716	,	FD	,	Ambérieu	,"	880754,478	","	6542120,596"
743716	,	FR	,	Ambérieu	,"	882819,996	","	6541683,984"
686220	,	BM	,	Poste 61 Yerres	,"	661178,012	","	6850055,855"
785006	,	CV	,	Cerbère	,"	699472,242	","	6231479,228"
785006	,	RV	,	Cerbère	,"	699472,242	","	6231479,228"
118299	,	C2	,	Bar-sur-Aube	,"	825968,003	","	6794991,694"
491472	,	00	,	Jarnac-Charente	,"	452660,13	","	6512928,719"
636522	,	PR	,	Poste 66 Neuvicq	,"	453488,968	","	6464816,349"
686675	,	RN	,	Paris-Bercy-Conflans	,"	655320,937	","	6859670,633"
696310	,	PK	,	Villeneuve-sur-Allier	,"	717820,034	","	6619356,822"
300863	,	BF	,	Besançon-Franche-Comté-TGV	,"	926976,687	","	6697424,734"
613893	,	BV	,	Villefranche-de-Rouergue	,"	623234,42	","	6361418,823"
723569	,	1E	,	Montluel	,"	859394,219	","	6529452,191"
485318	,	EM	,	Aiffres	,"	440521,242	","	6580582,812"
595579	,	BV	,	Thenon	,"	548291,338	","	6453043,865"
595579	,	22	,	Thenon	,"	547899,136	","	6453265,958"
313510	,	BV	,	Beauvais	,"	633868,243	","	6925592,382"
313510	,	VO	,	Beauvais	,"	634439,607	","	6925546,23"
636548	,	SI	,	Poste 68 Laruscade	,"	427299,34	","	6433496,733"
212167	,	BV	,	Hochfelden	,"	1035942,111	","	6860287,463"
172304	,	RF	,	Pont-Maugis	,"	841588,306	","	6953891,681"
174102	,	BF	,	Oiry	,"	777024,4	","	6881235,732"
174102	,	BV	,	Oiry	,"	776000,163	","	6881356,589"
382002	,	35	,	Bécon-les-Bruyères	,"	650435,419	","	6864306,075"
382002	,	BV	,	Bécon-les-Bruyères	,"	646371,185	","	6867515,516"
718403	,	V8	,	Roche-lez-Beaupré	,"	934069,838	","	6690754,935"
276402	,	00	,	St-Leu-d'Esserent	,"	657609,975	","	6901792,313"
113209	,	PJ	,	Pantin	,"	657559,703	","	6866685,54"
713354	,	SS	,	Villers-Rotin	,"	884802,898	","	6671259,759"
713172	,	SS	,	Lézinnes	,"	782797,646	","	6743012,261"
191007	,	FL	,	Thionville	,"	930801,31	","	6922239,512"
242552	,	00	,	Poste 18 Livry-Louvercy	,"	795023,142	","	6888782,886"
